#ImageName	Window	Conf	MajorAx	Perim	Area
1308758.TIF	1	0.10	88.54	461.90	1178
1308758.TIF	2	0.13	34.63	185.58	367
1308758.TIF	3	0.02	35.64	171.25	547
1308758.TIF	4	0.11	63.64	293.50	578
1308758.TIF	5	0.01	92.33	552.45	1294
1308758.TIF	6	0.12	30.07	159.57	504
1308758.TIF	7	0.18	85.63	518.98	1373
1308758.TIF	8	0.01	37.88	193.59	447
1308758.TIF	9	0.90	49.83	200.66	591
1308758.TIF	10	0.01	98.76	418.53	809
1308758.TIF	11	0.03	44.30	262.27	462
1308758.TIF	12	0.10	51.41	270.62	321
1308758.TIF	13	0.06	40.06	151.79	308
1308758.TIF	14	0.14	152.73	755.16	1509
1308758.TIF	15	0.03	42.92	259.57	368
1308758.TIF	16	0.05	58.57	205.45	507
1308758.TIF	17	0.07	50.83	207.02	381
1308758.TIF	18	0.04	63.96	344.32	642
1308758.TIF	19	0.10	40.14	221.11	378
1308758.TIF	20	0.01	48.95	239.68	388
1308758.TIF	21	0.02	58.70	191.81	530
1308758.TIF	22	0.10	72.42	225.28	593
1308758.TIF	23	0.03	136.94	661.18	1732
1308758.TIF	24	0.07	49.22	282.57	761
1308758.TIF	25	0.01	67.27	226.53	348
1308758.TIF	26	0.24	48.83	212.51	890
1308758.TIF	27	0.01	33.27	151.25	543
1308758.TIF	28	0.86	32.87	128.11	388
1308758.TIF	29	0.60	66.70	268.40	1009
1308758.TIF	30	0.09	54.73	298.10	973
1308758.TIF	31	0.20	67.76	169.57	511
1308758.TIF	32	0.42	43.18	242.59	721
1308758.TIF	33	0.21	62.54	262.37	1221
1308758.TIF	34	0.27	37.73	165.23	592
1308758.TIF	35	0.04	46.63	249.20	461
1308758.TIF	36	0.15	67.17	406.41	691
1308758.TIF	37	0.01	42.32	213.88	534
1308759.TIF	1	0.15	42.23	165.17	325
1308759.TIF	2	0.03	29.19	135.61	530
1308759.TIF	3	0.07	38.75	169.59	442
1308759.TIF	4	0.05	45.69	276.91	814
1308759.TIF	5	0.15	28.70	146.84	446
1308759.TIF	6	0.04	43.51	238.85	686
1308759.TIF	7	0.03	87.15	629.05	1244
1308759.TIF	8	0.05	43.49	189.22	310
1308759.TIF	9	0.02	28.74	170.26	373
1308759.TIF	10	0.08	38.43	105.45	746
1308759.TIF	11	0.03	26.32	122.95	344
1308759.TIF	12	0.21	37.03	163.65	419
1308759.TIF	13	0.06	48.42	229.67	569
1308759.TIF	14	0.61	76.94	370.48	1023
1308759.TIF	15	0.07	28.98	149.55	330
1308759.TIF	16	0.27	39.41	133.50	439
1308759.TIF	17	0.41	52.03	199.54	726
1308759.TIF	18	0.17	42.36	220.29	619
1308759.TIF	19	0.04	33.14	138.30	512
1308759.TIF	20	0.09	32.83	180.32	550
1308759.TIF	21	0.41	45.28	157.25	722
1308759.TIF	22	0.14	34.45	173.10	365
1308759.TIF	23	0.03	31.12	191.06	326
1308759.TIF	24	0.14	52.34	290.39	1074
1308759.TIF	25	0.01	44.61	229.41	354
1308759.TIF	26	0.72	38.11	216.23	803
1308759.TIF	27	0.12	56.25	173.65	860
1308759.TIF	28	0.07	33.17	151.70	467
1308759.TIF	29	0.06	42.05	180.92	696
1308759.TIF	30	0.09	52.54	212.78	454
1308759.TIF	31	0.07	45.21	209.91	362
1308759.TIF	32	0.00	67.38	435.37	792
1308759.TIF	33	0.22	34.49	136.14	339
1308759.TIF	34	0.01	50.20	287.97	439
1308759.TIF	35	0.01	33.20	216.54	304
1308759.TIF	36	0.11	48.58	272.58	1011
1308759.TIF	37	0.10	40.48	162.78	390
1308760.TIF	1	0.09	62.60	370.17	703
1308760.TIF	2	0.03	35.40	174.06	406
1308760.TIF	3	0.01	48.14	253.77	489
1308760.TIF	4	0.08	32.67	129.60	301
1308760.TIF	5	0.02	37.70	164.12	407
1308760.TIF	6	0.06	39.87	184.16	779
1308760.TIF	7	0.02	69.92	482.34	876
1308760.TIF	8	0.05	79.61	441.13	898
1308760.TIF	9	0.02	57.05	203.04	314
1308760.TIF	10	0.05	30.22	153.69	300
1308760.TIF	11	0.02	51.04	197.53	351
1308760.TIF	12	0.14	37.82	157.70	491
1308760.TIF	13	0.06	33.21	109.78	631
1308760.TIF	14	0.07	55.78	198.83	402
1308760.TIF	15	0.05	41.28	192.25	361
1308760.TIF	16	0.08	47.73	305.39	763
1308760.TIF	17	0.13	32.88	151.01	330
1308760.TIF	18	0.04	36.05	140.91	346
1308760.TIF	19	0.05	54.84	310.77	782
1308760.TIF	20	0.39	35.73	176.82	587
1308760.TIF	21	0.03	30.06	114.11	374
1308760.TIF	22	0.01	96.09	548.63	1515
1308760.TIF	23	0.01	42.30	226.30	315
1308760.TIF	24	0.05	44.51	394.73	450
1308760.TIF	25	0.01	47.73	296.45	459
1308760.TIF	26	0.01	47.79	199.98	434
1308760.TIF	27	0.16	40.32	225.01	658
1308760.TIF	28	0.11	52.07	339.89	1172
1308760.TIF	29	0.01	45.84	168.42	631
1308760.TIF	30	0.04	79.99	425.06	611
1308760.TIF	31	0.29	34.32	208.73	402
1308760.TIF	32	0.05	33.39	164.31	498
1308760.TIF	33	0.10	56.88	286.92	660
1308760.TIF	34	0.03	59.77	271.90	366
1308760.TIF	35	0.06	133.73	419.02	858
1308761.TIF	1	0.01	41.26	158.09	322
1308761.TIF	2	0.12	38.84	170.38	325
1308761.TIF	3	0.00	29.77	176.75	308
1308761.TIF	4	0.01	36.28	177.19	314
1308761.TIF	5	0.10	100.71	1234.18	1883
1308761.TIF	6	0.00	39.76	195.01	303
1308761.TIF	7	0.06	33.66	110.10	315
1308761.TIF	8	0.04	39.92	196.35	366
1308761.TIF	9	0.02	38.01	266.95	565
1308761.TIF	10	0.10	42.58	131.56	354
1308761.TIF	11	0.01	75.82	278.86	503
1308763.TIF	1	0.14	48.58	232.85	445
1308763.TIF	2	0.07	35.56	244.63	710
1308763.TIF	3	0.09	29.18	150.86	333
1308763.TIF	4	0.23	30.46	174.52	477
1308763.TIF	5	0.05	41.98	140.83	729
1308763.TIF	6	0.05	57.57	273.61	868
1308763.TIF	7	0.25	39.92	189.19	601
1308763.TIF	8	0.03	50.03	236.17	446
1308763.TIF	9	0.02	34.35	176.08	324
1308763.TIF	10	0.02	52.45	199.76	417
1308763.TIF	11	0.01	48.34	331.15	711
1308763.TIF	12	0.02	33.60	120.55	406
1308763.TIF	13	0.02	96.81	914.33	2345
1308763.TIF	14	0.00	43.52	277.32	760
1308763.TIF	15	0.01	37.32	241.06	616
1308763.TIF	16	0.01	35.85	175.24	384
1308763.TIF	17	0.00	47.07	353.18	685
1308763.TIF	18	0.09	34.66	186.07	360
1308763.TIF	19	0.10	30.80	112.09	310
1308763.TIF	20	0.01	76.07	367.72	896
1308763.TIF	21	0.01	28.39	146.53	319
1308763.TIF	22	0.01	25.26	110.14	342
1308763.TIF	23	0.01	30.30	138.72	380
1308763.TIF	24	0.13	36.89	136.73	305
1308763.TIF	25	0.09	34.11	199.12	307
1308764.TIF	1	0.04	36.73	184.16	470
1308764.TIF	2	0.13	54.19	237.06	442
1308764.TIF	3	0.02	59.24	403.97	605
1308764.TIF	4	0.04	34.31	129.02	628
1308764.TIF	5	0.05	42.29	177.95	357
1308764.TIF	6	0.01	61.42	298.81	456
1308764.TIF	7	0.05	51.93	261.06	632
1308764.TIF	8	0.94	50.60	213.48	597
1308764.TIF	9	0.02	36.31	200.90	310
1308764.TIF	10	0.05	49.60	295.85	423
1308764.TIF	11	0.02	71.13	287.18	576
1308764.TIF	12	0.04	46.16	186.63	322
1308764.TIF	13	0.01	28.69	134.66	459
1308764.TIF	14	0.20	41.46	190.12	967
1308764.TIF	15	0.15	28.52	137.48	414
1308764.TIF	16	0.14	66.71	336.22	977
1308764.TIF	17	0.01	45.46	184.77	502
1308764.TIF	18	0.15	32.46	99.01	355
1308764.TIF	19	0.01	34.16	197.44	346
1308764.TIF	20	0.08	40.34	136.03	433
1308764.TIF	21	0.03	49.82	408.19	620
1308764.TIF	22	0.12	30.12	152.66	367
1308764.TIF	23	0.02	55.87	309.15	890
1308764.TIF	24	0.12	70.80	491.93	1166
1308764.TIF	25	0.03	53.09	401.86	787
1308764.TIF	26	0.26	50.98	310.64	1032
1308764.TIF	27	0.26	60.46	269.84	1053
1308764.TIF	28	0.04	56.19	262.07	561
1308764.TIF	29	0.04	33.66	168.96	356
1308764.TIF	30	0.04	49.22	272.75	448
1308765.TIF	1	0.05	82.10	447.17	1413
1308765.TIF	2	0.01	33.07	162.95	393
1308765.TIF	3	0.07	58.29	325.69	1205
1308765.TIF	4	0.05	80.84	398.67	1958
1308765.TIF	5	0.02	72.56	556.80	1437
1308765.TIF	6	0.01	45.54	274.10	522
1308765.TIF	7	0.01	57.69	340.90	896
1308765.TIF	8	0.03	124.45	566.42	2579
1308765.TIF	9	0.18	48.73	309.70	714
1308765.TIF	10	0.01	26.86	154.36	452
1308765.TIF	11	0.77	67.51	275.49	1044
1308765.TIF	12	0.03	59.11	270.82	536
1308765.TIF	13	0.29	35.56	157.10	559
1308765.TIF	14	0.02	64.90	432.21	651
1308765.TIF	15	0.01	27.08	92.95	354
1308765.TIF	16	0.02	43.98	256.50	323
